store,websites,attribute_set,type,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,"4,10,49",gro0411,0,6672112780,STONED WHEAT THINS GRILLED BELL PEPPER,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS GRILLED BELL PEPPER,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,44",gro0412,0,6672112806,STONED WHEAT THINS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.6,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,42",gro0413,0,6672112875,STONED WHEAT THINS ORIGINAL,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS ORIGINAL,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,41",gro0414,0,6672112885,STONED WHEAT THINS ORIGINAL,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.6,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS ORIGINAL,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,48",gro0415,0,6810007821,ORIGINAL,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,,,,Enabled,No,"Catalog, Search",Taxable Goods,BARBQ SAUCE,BARBQ SAUCE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ORIGINAL,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,50",gro0416,0,69905971,CARAMELS ORIGINAL,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.269,,,Enabled,No,"Catalog, Search",Taxable Goods,CANDY,CANDY,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CARAMELS ORIGINAL,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,45",gro0417,0,69905972,CARAMELS ORIGINAL,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.34,,,Enabled,No,"Catalog, Search",Taxable Goods,CANDY,CANDY,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CARAMELS ORIGINAL,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,49",gro0418,0,6810004027,BACON RANCH,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.25,,,Enabled,No,"Catalog, Search",Taxable Goods,DRESSING,DRESSING,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,BACON RANCH,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,44",gro0419,0,6810004059,RANCHER'S CHOICE FAT FREE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.25,,,Enabled,No,"Catalog, Search",Taxable Goods,DRESSING,DRESSING,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,RANCHER'S CHOICE FAT FREE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,42",gro0420,0,6810004078,CREAMY CAESAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.25,,,Enabled,No,"Catalog, Search",Taxable Goods,DRESSING,DRESSING,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CREAMY CAESAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
