store,websites,attribute_set,type,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,"4,11,44",gro0601,0,4470002326,HOMESTYLE OVEN ROASTED,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.14,,,Enabled,No,"Catalog, Search",Taxable Goods,WHITE CHICKEN,WHITE CHICKEN,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HOMESTYLE OVEN ROASTED,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,42",gro0602,0,6598720422,DIGESTIVE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,DIGESTIVE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,41",gro0603,0,6598720423,LIFESTYLE SELECTIONS FRUIT CREME,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LIFESTYLE SELECTIONS FRUIT CREME,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,48",gro0604,0,6598720424,GINGER CRISP,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,GINGER CRISP,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,50",gro0605,0,6598720425,NICE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,11/25/2015 0:00,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,NICE,0,simple,,, ,,No,No,,,,,,,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings
admin,base,Grocery,simple,"4,10,45",gro0606,0,6598720426,SHORTCAKE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,SHORTCAKE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,49",gro0607,0,6598720427,ASSORTED CREME,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ASSORTED CREME,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,44",gro0608,0,6598720428,ASSORTED TEA,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ASSORTED TEA,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,42",gro0609,0,6598720429,FAMILY SHORTCAKE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.35,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,FAMILY SHORTCAKE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,41",gro0610,0,6598720430,LIFESTYLE SELECTIONS FRUIT CREME,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,PEEK FREANS,,,,35.55,,0.275,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,11/25/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LIFESTYLE SELECTIONS FRUIT CREME,0,simple,,, ,,No,No,,,,,,,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings
