store,_product_websites,_attribute_set,type,group_flavor,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,unit,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,7,"4,11,48",gro0058,0,6672101064,OREO CHOCOLATE,,,,,,,oreo-chocolate,oreo-chocolate-975.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.55,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,OREO CHOCOLATE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,12,50",gro0059,0,6672101899,CHUNKS AHOY ALMOND,,,,,,,chunks-ahoy-almond,chunks-ahoy-almond.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.3,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHUNKS AHOY ALMOND,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,10,45",gro0060,0,6672101904,CHUNKS AHOY PECAN,,,,,,,chunks-ahoy-pecan,chunks-ahoy-pecan.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.3,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHUNKS AHOY PECAN,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,11,49",gro0061,0,6672101565,CHUNKS AHOY!,,,,,,,chunks-ahoy,chunks-ahoy.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.55,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHUNKS AHOY!,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,12,44",gro0062,0,6672101602,CHEWY CHUNKS AHOY!,,,,,,,chewy-chunks-ahoy,chewy-chunks-ahoy.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.325,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHEWY CHUNKS AHOY!,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,10,42",gro0063,0,6672101668,CHUNKS AHOY!,,,,,,,chunks-ahoy,chunks-ahoy-979.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.35,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHUNKS AHOY!,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,11,41",gro0064,0,6672101766,CHUNKS AHOY! FAMILY PACK,,,,,,,chunks-ahoy-family-pack,chunks-ahoy-family-pack.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,1.1,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHUNKS AHOY! FAMILY PACK,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,12,48",gro0065,0,6672101183,MINI OREO,,,,,,,mini-oreo,mini-oreo.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MINI OREO,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,10,50",gro0066,0,6672101186,MINI CHIPS AHOY RAINBOW,,,,,,,mini-chips-ahoy-rainbow,mini-chips-ahoy-rainbow.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MINI CHIPS AHOY RAINBOW,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,11,45",gro0067,0,6672101531,PIRATE OATMEAL PEANUT BUTTER COOKIES,,,,,,,pirate-oatmeal-peanut-butter-cookies,pirate-oatmeal-peanut-butter-cookies.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.35,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,PIRATE OATMEAL PEANUT BUTTER COOKIES,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
