store,websites,attribute_set,type,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,"4,10,49",gro0201,0,6810000931,LEMONADE SINGLES 10-19G PACKETS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.19,,,Enabled,No,"Catalog, Search",Taxable Goods,DRINK MIX,DRINK MIX,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LEMONADE SINGLES 10-19G PACKETS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,44",gro0202,0,6810002830,MARBLE CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MARBLE CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,42",gro0203,0,6810002833,MILD LIGHT CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MILD LIGHT CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,41",gro0204,0,6810002837,MEDIUM LIGHT CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MEDIUM LIGHT CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,48",gro0205,0,6810002839,OLD LIGHT CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,OLD LIGHT CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,50",gro0206,0,6810003055,EXTRA OLD CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.907,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXTRA OLD CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,45",gro0207,0,6810003063,MARBLE CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.54,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MARBLE CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,49",gro0208,0,6618802520,MILD CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.075,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MILD CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,44",gro0209,0,6618802521,MEDIUM CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.075,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MEDIUM CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,42",gro0210,0,6618802522,OLD CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.075,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,OLD CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,41",gro0211,0,6618802524,MEDIUM LIGHT CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.075,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MEDIUM LIGHT CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,48",gro0212,0,6618802525,OLD LIGHT CHEDDAR,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,CRACKER BARREL,,,,35.55,,0.075,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,OLD LIGHT CHEDDAR,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
