_store,_product_websites,_attribute_set,_type,group_flavor,_category,sku,has_options,upc_code,name,bringg_user,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,unit,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,manufacturer_info,cooking,freezing,special_from_date,special_to_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type
,base,Grocery,simple,1,FOOD,gro0006,0,6618800840,100% PURE,,,,,,100-pure,100-pure-927.html,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,lb,,0.225,,,1,No,4,2,UNSWEETENED CHOCOLATE SQUARES,UNSWEETENED CHOCOLATE SQUARES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,1,FOOD,gro0007,0,6618800860,100% PURE,,,,,,100-pure,100-pure-928.html,1 column,Product Info Column,Use config,Use config,,,,BARNUM'S,,,,35.55,,,0.17,,,1,No,4,2,WHITE CHOCOLATE SQUARES,WHITE CHOCOLATE SQUARES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Ice cream & frozen desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,2,FOOD,gro0008,0,6672101134,ARROWROOT DINO-BITES ANIMAL CRACKERS,,,,,,arrowroot-dino-bites-animal-crackers,arrowroot-dino-bites-animal-crackers.html,1 column,Product Info Column,Use config,Use config,,,,BARNUM'S,,,,35.55,,,0.225,,,1,No,4,2,BISCUITS,BISCUITS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ARROWROOT DINO-BITES ANIMAL CRACKERS,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,2,FOOD,gro0009,0,6672101160,ARROWROOT ANIMAL CRACKERS GO WILD!,,,,,,arrowroot-animal-crackers-go-wild,arrowroot-animal-crackers-go-wild.html,1 column,Product Info Column,Use config,Use config,,,,BIRD'S,,,,35.55,,,0.225,,,1,No,4,2,BISCUITS,BISCUITS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ARROWROOT ANIMAL CRACKERS GO WILD!,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,3,FOOD,gro0010,0,6618800570,ORIGINAL FLAVOUR,,,,,,original-flavour,original-flavour.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,lb,,0.34,,,1,No,4,2,CUSTARD POWDER,CUSTARD POWDER,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ORIGINAL FLAVOUR,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,FOOD,gro0011,0,6810007959,HONEY GARLIC,,,,,,honey-garlic,honey-garlic.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HONEY GARLIC,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,FOOD,gro0012,0,6810007964,HOT SOUTHERN CAJUN,,,,,,hot-southern-cajun,hot-southern-cajun.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,lb,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HOT SOUTHERN CAJUN,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,HOME & LEISURE,gro0013,0,6810007966,ORIGINAL,,,,,,original,original.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ORIGINAL,0,simple,,,,,,,,,,,,
,,,,,HOME & LEISURE/Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,FOOD,gro0014,0,6810007968,HICKORY SMOKE,,,,,,hickory-smoke,hickory-smoke.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HICKORY SMOKE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Ice cream & frozen desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,FOOD,gro0015,0,6810007969,GRILLED ONION & GARLIC,,,,,,grilled-onion-garlic,grilled-onion-garlic.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,GRILLED ONION & GARLIC,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,FOOD,gro0016,0,6810008010,CHIPOTLE,,,,,,chipotle,chipotle.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHIPOTLE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,FOOD,gro0017,0,6810008011,STEAKHOUSE STYLE,,,,,,steakhouse-style,steakhouse-style.html,1 column,Product Info Column,Use config,Use config,,,,BULL'S-EYE,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STEAKHOUSE STYLE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,4,HOME & LEISURE,gro0018,0,6810008012,SWEET & STICKY,,,,,,sweet-sticky,sweet-sticky.html,1 column,Product Info Column,Use config,Use config,,,,CERTO,,,,35.55,,,0.425,,,1,No,4,2,BARBECUE SAUCE,BARBECUE SAUCE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,SWEET & STICKY,0,simple,,,,,,,,,,,,
,,,,,HOME & LEISURE/Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,5,FOOD,gro0019,0,6618802970,FOR HOMEMADE JAMS & JELLIES 2 POUCHES,,,,,,for-homemade-jams-jellies-2-pouches,for-homemade-jams-jellies-2-pouches.html,1 column,Product Info Column,Use config,Use config,,,,CERTO,,,,35.55,,,0.17,,,1,No,4,2,LIQUID PECTIN,LIQUID PECTIN,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,FOR HOMEMADE JAMS & JELLIES 2 POUCHES,0,simple,,,,,,,,,,,,
