_store,_product_websites,_attribute_set,_type,group_flavor,_category,sku,has_options,upc_code,name,bringg_user,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,unit,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,manufacturer_info,cooking,freezing,special_from_date,special_to_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0163,0,6672102010,BITS & BITES SPICY SWEET CHILI,,,,,,bits-bites-spicy-sweet-chili,bits-bites-spicy-sweet-chili.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.2,,,1,No,4,2,SNACK MIX,SNACK MIX,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,BITS & BITES SPICY SWEET CHILI,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0164,0,6672102011,BITS & BITES HONEY & ROASTED GARLIC,,,,,,bits-bites-honey-roasted-garlic,bits-bites-honey-roasted-garlic.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.2,,,1,No,4,2,SNACK MIX,SNACK MIX,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,BITS & BITES HONEY & ROASTED GARLIC,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0165,0,7337335141,ORIGINAL BITS & BITES,,,,,,original-bits-bites,original-bits-bites.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.05,,,1,No,4,2,SNACK MIX,SNACK MIX,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ORIGINAL BITS & BITES,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0166,0,6672101965,WAFERSTIX PEANUT BUTTER 10 PACKS,,,,,,waferstix-peanut-butter-10-packs,waferstix-peanut-butter-10-packs.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.28,,,1,No,4,2,WAFER COOKIES,WAFER COOKIES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,WAFERSTIX PEANUT BUTTER 10 PACKS,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0167,0,6672101966,CHIPS AHOY! WAFERSTIX 10 PACK,,,,,,chips-ahoy-waferstix-10-pack,chips-ahoy-waferstix-10-pack.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.28,,,1,No,4,2,WAFER COOKIES,WAFER COOKIES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHIPS AHOY! WAFERSTIX 10 PACK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0168,0,6672101982,FUGEE-O WAFER STIX MADE W/MILK CHOCOLATE 10 PACKS,,,,,,fugee-o-wafer-stix-made-w-milk-chocolate-10-packs,fugee-o-wafer-stix-made-w-milk-chocolate-10-packs.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.028,,,1,No,4,2,WAFER COOKIES,WAFER COOKIES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,FUGEE-O WAFER STIX MADE W/MILK CHOCOLATE 10 PACKS,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Ice cream & frozen desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0169,0,6672101011,HONEY MAID BISCUITS GRAHAM,,,,,,honey-maid-biscuits-graham,honey-maid-biscuits-graham.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.6,,,1,No,4,2,WAFERS,WAFERS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HONEY MAID BISCUITS GRAHAM,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0170,0,6672101620,HONEY MAID GRAHAM,,,,,,honey-maid-graham,honey-maid-graham.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.4,,,1,No,4,2,WAFERS,WAFERS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HONEY MAID GRAHAM,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,7,FOOD,gro0171,0,6672101763,HONEY MAID GRAHAM,,,,,,honey-maid-graham,honey-maid-graham-1087.html,1 column,Product Info Column,Use config,Use config,,,,CLAUSSEN,,,,35.55,,,1.2,,,1,No,4,2,WAFERS,WAFERS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,HONEY MAID GRAHAM,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,8,FOOD,gro0172,0,4470009204,KOSHER DILL WHOLE,,,,,,kosher-dill-whole,kosher-dill-whole.html,1 column,Product Info Column,Use config,Use config,,,,CLAUSSEN,,,,35.55,,,0.75,,,1,No,4,2,PICKLES,PICKLES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,KOSHER DILL WHOLE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,8,FOOD,gro0173,0,4470009209,KOSHER DILL HALVES,,,,,,kosher-dill-halves,kosher-dill-halves.html,1 column,Product Info Column,Use config,Use config,,,,COOL WHIP,,,,35.55,,,0.75,,,1,No,4,2,PICKLES,PICKLES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,KOSHER DILL HALVES,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,9,FOOD,gro0174,0,6618806160,LIGHT,,,,,,light,light.html,1 column,Product Info Column,Use config,Use config,,,,COOL WHIP,,,,35.55,,,1,,,1,No,4,2,WHIPPED TOPPING,WHIPPED TOPPING,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LIGHT,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,9,FOOD,gro0175,0,6618806180,LID,,,,,,lid,lid.html,1 column,Product Info Column,Use config,Use config,,,,COOL WHIP,,,,35.55,,,1,,,1,No,4,2,WHIPPED TOPPING,WHIPPED TOPPING,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LID,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Ice cream & frozen desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,9,FOOD,gro0176,0,6618806220,95% FAT FREE,,,,,,95-fat-free,95-fat-free.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,1,,,1,No,4,2,WHIPPED TOPPING,WHIPPED TOPPING,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,95% FAT FREE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0177,0,7022100780,EXPRIENCES MIGNONNETTE MILK CHOCOLATE,,,,,,expriences-mignonnette-milk-chocolate,expriences-mignonnette-milk-chocolate.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.17,,,1,No,4,2,CANDY,CANDY,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES MIGNONNETTE MILK CHOCOLATE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0178,0,7022156755,EXPRIENCES CREAMY MILK CHOCOLATE,,,,,,expriences-creamy-milk-chocolate,expriences-creamy-milk-chocolate.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CANDY,CANDY,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES CREAMY MILK CHOCOLATE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0179,0,7022156759,EXPRIENCES DARK CHOCOLATE 70% CACAO,,,,,,expriences-dark-chocolate-70-cacao,expriences-dark-chocolate-70-cacao.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CANDY,CANDY,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES DARK CHOCOLATE 70% CACAO,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0180,0,7022156813,EXPRIENCES DARK CHOCOLATE W/CARAMELIZED PISTACHIO PIECES,,,,,,expriences-dark-chocolate-w-caramelized-pistachio-pieces,expriences-dark-chocolate-w-caramelized-pistachio-pieces.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CANDY,CANDY,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES DARK CHOCOLATE W/CARAMELIZED PISTACHIO PIECES,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0181,0,7022156815,EXPRIENCES MILK CHOCOLATE W/CARAMELIZED ALMOND PIECES,,,,,,expriences-milk-chocolate-w-caramelized-almond-pieces,expriences-milk-chocolate-w-caramelized-almond-pieces.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CANDY,CANDY,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES MILK CHOCOLATE W/CARAMELIZED ALMOND PIECES,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0182,0,7022156826,EXPRIENCES DARK CHOCOLATE 86% CACAO,,,,,,expriences-dark-chocolate-86-cacao,expriences-dark-chocolate-86-cacao.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CANDY,CANDY,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES DARK CHOCOLATE 86% CACAO,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Ice cream & frozen desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,11,FOOD,gro0183,0,0,DARK,,,,,,dark,dark.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,DARK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,11,FOOD,gro0184,0,7022110177,DARK,,,,,,dark,dark-1102.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.047,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,DARK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,11,FOOD,gro0185,0,7022110178,MILK,,,,,,milk,milk.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MILK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,11,FOOD,gro0186,0,7022110180,DARK,,,,,,dark,dark-1103.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,DARK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,12,FOOD,gro0187,0,7022110183,DARK FOR CONNOISSEURS 2 PK,,,,,,dark-for-connoisseurs-2-pk,dark-for-connoisseurs-2-pk.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,10.05,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,DARK FOR CONNOISSEURS 2 PK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,12,FOOD,gro0188,0,7022110184,MILK FOR CONNOISSEURS 2 PK,,,,,,milk-for-connoisseurs-2-pk,milk-for-connoisseurs-2-pk.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,10.05,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MILK FOR CONNOISSEURS 2 PK,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,10,FOOD,gro0189,0,7022156828,EXPRIENCES ORANGE FLAVOURED DARK CHOCOLATE W/RICH ORANGE CENTRE 70% CACAO,,,,,,expriences-orange-flavoured-dark-chocolate-w-rich-orange-centre-70-cacao,expriences-orange-flavoured-dark-chocolate-w-rich-orange-centre-70-cacao.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.1,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXPRIENCES ORANGE FLAVOURED DARK CHOCOLATE W/RICH ORANGE CENTRE 70% CACAO,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Ice cream & frozen desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,13,FOOD,gro0190,0,7022156843,MIGNONNETTE MILK 24 X 10G,,,,,,mignonnette-milk-24-x-10g,mignonnette-milk-24-x-10g.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.24,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MIGNONNETTE MILK 24 X 10G,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,13,FOOD,gro0191,0,7022156844,MIGNONNETTE DARK 24 X 10G,,,,,,mignonnette-dark-24-x-10g,mignonnette-dark-24-x-10g.html,1 column,Product Info Column,Use config,Use config,,,,CTE D'OR,,,,35.55,,,0.24,,,1,No,4,2,CHOCOLATE,CHOCOLATE,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MIGNONNETTE DARK 24 X 10G,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
